Key,row_number,date,axle_position,td,pressure,tire_size,brand,product_line,parts;;;;;;;;;;;
"ST-GS1851,8.0,2023-08-09,1SR,16.2,9.0,315/70R22.5,GOODYEAR,KMAX,""['315/70R22.5', 'KMAX', 'S', 'G2', 'HL', '156/150L', '3PSF']""";;;;;;;;;;;leave out, I already put those tires in
"ST-GS2029,97.0,2023-08-11,1SR,3.0,8.8,315/70R22.5,GOODYEAR,KMAX,""['315/70R22.5', 'KMAX', 'S', 'G2', 'HL', '156/150L', '3PSF']""";;;;;;;;;;;leave out, I already put those tires in
"ST-GS2119,197.0,2023-10-14,1SR,10.0,10.0,315/70R22.5,MICHELIN,X LINE ENERGY,""['315/70R22.5', '156L150L', 'X', 'LINE', 'ENERGY', 'Z']""";;;;;;;;;;;leave out, I already put those tires in
ST-GS4002,,,,,,,,,;;;;;;;;;;;take tire with ID SHN34379 for 3 axle right side
"ST-GS4003,396.0,2023-08-12,1TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take Dunlop tires for the 1 axle
"ST-GS4005,410.0,2023-09-23,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take Fulda tires for 1-axle
"ST-GS4007,420.0,2023-09-09,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with tread depth 14 for 1 and 3 axle
"ST-GS4008,431.0,2023-09-15,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with tread depth 14 for 1 and 3 axle
"ST-GS4050,453.0,2023-08-16,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with ID 1936836057 and 7948374461 for 1 axle and tires with tread depth 14 for 3 axle
"ST-GS4055,479.0,2023-04-08,3TR,10.5,9.0,385/65R22.5,MICHELIN,XTE3,""['385/65R22.5', '160J158L', 'XTE3', 'VG', '20']""";;;;;;;;;;;take tire SHIO54541 for 3 axle right side
"ST-GS4103,515.0,2023-10-02,3TR,14.1,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;leave out, need to ask client
"ST-GS4610,842.0,2023-09-21,3TR,5.0,9.0,385/65R22.5,BRIDGESTONE,DURAVIS,""['385/65R22.5', '160K158L', 'DURAVIS', 'R-STEER', '002']""";;;;;;;;;;;take tire JYT63546 for 1axle left and M2R830428 for 3axle right
"ST-GS4654,862.0,2023-09-21,3TR,15.0,9.0,385/65R22.5,BRIDGESTONE,R179,""['385/65R22.5', '160K158L', 'R179']""";;;;;;;;;;;take tires JYT6366E and 3BD5222 for 3 axle
"ST-GS4750,871.0,2023-09-21,3TR,5.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take Pirelli tires for 1 axle and 36525165 for 3 axle right side
ST-GS4756,,,,,,,,,;;;;;;;;;;;leave out, need to ask client
