Name des Standortes,Nummere des Standortes,Flotten Stadt,VehicleType_Name,Kennzeichen,Flotten Referenz,Letzte Job datum,Letzte Auftragsnummer,Position,Seriennummer ,IPC,Größe,Reifenmuster,Marken,New / Retreat,RTD gemessenes Datum,RTD1,MeasuredPressure,LastOdoMeterReading,,,
Johannes Martens (GmbH & Co. KG),99013492,Berlin,Rigid,WL-JM1377,1052,23.11.2022,2809492,1R1,H2T860364,10852,"385/65 R22,5",DURT2,Bridgestone,New,23.11.2022,15.7,,,,,
,,,,,,,,3R1,H2T860391,10852,"385/65 R22,5",DURT2,Bridgestone,New,23.11.2022,15.7,,,,DURS2,Durvais R-Steer 002
,,,,WL-JM1391,1067,23.02.2023,2965697,1L1,C7S254732,13499,"385/55 R22,5",ECOHT2,Bridgestone,New,23.02.2023,11.3,,,,DURD2,Duravis R-Drive 002
,,,,,,,,1R1,C7S284612,13499,"385/55 R22,5",ECOHT2,Bridgestone,New,23.02.2023,11.3,,,,DURT2,Duravis R-Trailer 002
,,,,,,,,3L1,l7t434136,16944,"315/70 R22,5",DURS2,Bridgestone,New,14.12.2022,13.1,9.0,,,FS422+E,FS422
,,,,WL-JM1395,1068,,,,,,,,,New,,,,,,FT422+E,FT422
,,,,WL-JM1396,1069,19.05.2023,3123429,1L1,F7T546349,16944,"315/70 R22,5",DURS2,Bridgestone,New,19.05.2023,13.1,,,,ContiHY,Conti Hybrid HD3
,,,,,,,,1R1,F7T122545,16944,"315/70 R22,5",DURS2,Bridgestone,New,19.05.2023,13.1,,,,HD3,Conti Hybrid HD3
,,,,,,,,2L1,G2U441302,16953,"315/70 R22,5",DURD2,Bridgestone,New,19.05.2023,16.6,,,,HT3,Conti Hybrid HT3
,,,,,,,,2L2,g7s438111,16953,"315/70 R22,5",DURD2,Bridgestone,New,09.11.2022,16.6,8.0,,,ECOHS2,Ecopia H-Steer 002
,,,,,,,,2R1,e7t156119,16953,"315/70 R22,5",DURD2,Bridgestone,New,09.11.2022,16.6,8.0,,,ECOHD2,Ecopia H-Drive 002
,,,,,,,,2R2,e7t156584,16953,"315/70 R22,5",DURD2,Bridgestone,New,09.11.2022,16.6,8.0,,,ECOHT2,Ecopia H-Trailer 002
,,,,WL-JM1397,1070,17.11.2022,2837800,1L1,G75234960,18006,"315/70 R22,5",FS422+E,Firestone,New,17.11.2022,13.5,9.0,,,,
,,,,,,,,1R1,G75254961,18006,"315/70 R22,5",FS422+E,Firestone,New,17.11.2022,13.5,9.0,,,,
,,,,WL-JM1398,1071,08.02.2023,2932950,1L1,F7T128408,16944,"315/70 R22,5",DURS2,Bridgestone,New,08.02.2023,13.1,,,,,
,,,,,,,,1R1,F7T546194,16944,"315/70 R22,5",DURS2,Bridgestone,New,08.02.2023,13.1,,,,,
,,,,WL-JM1399,1072,,,,,,,,,New,,,,,,,
,,,,WL-JM1417,1084,02.02.2023,2933005,1L1,g7s235362,18006,"315/70 R22,5",FS422+E,Firestone,New,07.11.2022,13.5,9.0,,,,
,,,,,,,,1R1,GY/Kmax S/1936338130,1534814,"315/70 R22,5",STEER,Michelin,New,07.11.2022,22.0,,,,,
,,,,,,,,2L1,K7T236079,16953,"315/70 R22,5",DURD2,Bridgestone,New,02.02.2023,16.6,,,,,
,,,,,,,,2L2,C7S418093,16953,"315/70 R22,5",DURD2,Bridgestone,New,02.02.2023,16.6,,,,,
,,,,,,,,2R1,C7S418092,16953,"315/70 R22,5",DURD2,Bridgestone,New,02.02.2023,16.6,,,,,
,,,,,,,,2R2,K7T246357,16953,"315/70 R22,5",DURD2,Bridgestone,New,02.02.2023,16.6,,,,,
,,,,WL-JM1427,1091,,,,,,,,,New,,,,,,,
,,,,WL-JM1429,1093,07.03.2023,2977284,1L1,M8J3305185,16944,"315/70 R22,5",DURS2,Bridgestone,New,15.11.2022,13.1,,,,,
,,,,,,,,1R1,M8J301922,16944,"315/70 R22,5",DURS2,Bridgestone,New,15.11.2022,13.1,,,,,
,,,,,,,,2L1,E7T325090,16953,"315/70 R22,5",DURD2,Bridgestone,New,07.03.2023,16.6,,,,,
,,,,,,,,2L2,E7T325453,16953,"315/70 R22,5",DURD2,Bridgestone,New,07.03.2023,16.6,,,,,
,,,,,,,,2R1,G2U450078,16953,"315/70 R22,5",DURD2,Bridgestone,New,07.03.2023,16.6,,,,,
,,,,,,,,2R2,E7T325716,16953,"315/70 R22,5",DURD2,Bridgestone,New,07.03.2023,16.6,,,,,
,,,,WL-JM1471,10054,,,,,,,,,New,,,,,,,
,,,Semi Trailer,WL-JM575,1640,,,,,,,,,New,,,,,,,
,,,Trailer,D-AL171,TT017,23.01.2023,2909415,1L1,6151998608,1534649,"385/65 R22,5",TRAILER,Non Firestone,New,07.10.2022,12.0,9.0,,,,
,,,,,,,,1R1,h2t860457,10852,"385/65 R22,5",DURT2,Bridgestone,New,07.10.2022,14.0,9.0,,,,
,,,,,,,,2L1,,1534649,"385/65 R22,5",TRAILER,Non Firestone,New,07.10.2022,15.0,9.0,,,,
,,,,,,,,2R1,1933802211,1534649,"385/65 R22,5",TRAILER,Non Firestone,New,07.10.2022,14.0,9.0,,,,
,,,,,,,,3L1,B7T426273,10852,"385/65 R22,5",DURT2,Bridgestone,New,23.01.2023,15.7,9.0,,,,
,,,,,,,,3R1,h2t860210,10852,"385/65 R22,5",DURT2,Bridgestone,New,07.10.2022,13.0,9.0,,,,
,,,,WL-JM198,1619,11.08.2022,2708245,1R1,H2T471163,10852,"385/65 R22,5",DURT2,Bridgestone,New,11.08.2022,15.7,,,,,
,,,,,,,,3L1,H2T470927,10852,"385/65 R22,5",DURT2,Bridgestone,New,11.08.2022,15.7,,,,,
,,,,WL-JM503,1654,13.10.2022,2759013,2L1,H2T761173,10852,"385/65 R22,5",DURT2,Bridgestone,New,13.10.2022,15.7,,,,,
,,,,,,,,2R1,H2T761056,10852,"385/65 R22,5",DURT2,Bridgestone,New,13.10.2022,15.7,,,,,
,,,,WL-JM692,1703,,,,,,,,,New,,,,,,,
